Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,Random Search,0,stage1_random,29,1.0065811120654846,0.033090750787188684,0.10127454088600216,16.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,0,1.0138256880952419,0.014896028637432087,0.17722710548444853,19.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,1,1.0171566858864045,0.048318796810310816,0.18238497809142348,18.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,2,1.0155436120585113,0.027300019996094667,0.20185804644925795,15.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,3,1.0167664640324043,0.00936858889598528,0.18640831564963256,17.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,4,1.0160048286236452,0.019347443759374562,0.16210067308277276,23.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,5,1.0165719117195904,0.019162572313355476,0.1734571339557901,20.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,6,1.0151212686552604,0.014392841704142408,0.16806274564153814,23.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,7,1.011920390193055,0.010335555212836038,0.1529742229676469,26.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,8,1.0157853299624557,0.014573428962892708,0.18504448312680782,18.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,9,1.016960707498087,0.009855484115499425,0.1764950437053668,20.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,10,1.0181333466830649,0.009627042443132219,0.20040791040000772,15.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,11,1.0153146225241023,0.026778022182046245,0.17612933727269348,19.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,12,1.0139185911631345,0.023854999184312588,0.16608935038045936,23.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,13,1.014148112585483,0.014635016078183417,0.17302119245251552,20.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,14,1.0171961971412418,0.013245929537760374,0.17834790604209694,19.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,15,1.0161808492647473,0.05493779663091051,0.1673809840499178,22.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,16,1.0175587277271025,0.017426421017794513,0.18589284024323233,18.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,17,1.016301390511366,0.018746171124433653,0.20050059460986344,15.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,18,1.0161165731039272,0.012120663460723057,0.1725604598109261,20.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,19,1.0172584467290215,0.020955233784909346,0.1973663300764577,15.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,20,1.0170938314167253,0.016047771249930256,0.18574675298872664,18.0,,
