Dataset,Hardware,ds_key,hw_key,algo_id,Seed,HV,IGD,Spacing,MaxSpread
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,7,1.1660387448136793,0.0029034670208399984,0.1671389578693853,1.1260940394014303
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,8,1.1661276730807533,0.0014924559813978336,0.15381632328684502,1.3129414372545656
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,9,1.1634760767793464,0.0033406460561835965,0.15976533921504857,1.1163677214954137
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,10,1.1656560110588572,0.002050142193367907,0.15877875018333257,1.3129403987138422
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,11,1.1660749433711934,0.0016893329841578023,0.15551893349664037,1.3129424703150512
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,12,1.1661473199565526,0.0014333595440347226,0.16055484502699643,1.3129424703150512
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,13,1.1661617215695534,0.0019529218899400694,0.15195901236583573,1.3129420880758897
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,14,1.1661912189022579,0.0010075204516608823,0.1443506406177161,1.3129428462659753
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,15,1.1651749413246903,0.0020623672876021256,0.15055039335673803,1.2220092246645053
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,16,1.1662300472264542,0.002071780474675866,0.1602460361194672,1.3129427392202315
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,17,1.1661849278346852,0.0014028552550727994,0.16336043781415555,1.3129424703150512
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,18,1.1651576127241414,0.002092539878411186,0.14644776877727567,1.2259821553809833
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,19,1.16659465782482,0.0007860798233622996,0.1497841883609448,1.3129420880758897
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,20,1.1664349657218458,0.0014344181163698636,0.16279284131980243,1.3129427392202315
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,21,1.1660831707484467,0.000861884571002882,0.1493874587581987,1.3129424703150512
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,22,1.1660986633131827,0.0022679252471666037,0.1683112024907654,1.3239615382774004
CIFAR-10,RasPi4,cifar10,raspi4_latency,nsga2,23,1.165304884567376,0.0019898195355058305,0.1449426633692327,1.3310052866616886
