Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,23,1.0145661969873798,0.01649363667831909,0.05433474598940695,67.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,24,1.033114262669308,0.007919414518465335,0.021200808627152776,102.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,25,0.985943284035973,0.06580318434966381,0.03412223761083445,144.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,26,1.025943102783336,0.011412446464328492,0.04301015965449301,43.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,27,1.0328854815630828,0.004211884579839671,0.009132635345561198,97.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,28,1.0308089305188157,0.0030089974642532203,0.045334479059785854,105.0,,
CIFAR-10,Eyeriss,cifar10,eyeriss_latency,MOEA/D + GA,1,stage2_moead_ga,29,1.0317679583602277,0.006612311760742675,0.017993438921971073,122.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,0,1.02139633565357,0.001048544698157999,0.06695248194728874,143.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,1,1.0220328021466811,0.0006653579395843669,0.06252993128137598,165.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,2,1.0217189282985928,0.0006993040784224919,0.007376503965779947,106.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,3,1.0211686852892226,0.000265789469706034,0.003491297681501671,167.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,4,1.0216321503450505,0.0002546323455321352,0.06678900341850709,144.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,5,1.02197267819984,0.00013544768431360903,0.05984380166037047,180.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,6,1.0188438944311706,0.00044001834309586045,0.002631569178667672,166.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,7,1.0216090566953036,0.0007546316275809706,0.060557985998564184,175.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,8,1.0204108533123153,0.0013400478253948655,0.006150675663303281,153.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,9,1.0215813514195373,0.0011417031124189214,0.07243146043854942,122.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,10,1.0213876154209276,0.0005861386114767069,0.05663889590269149,202.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,MOEA/D + GA,1,stage2_moead_ga,11,1.0218095398319729,0.0007215428742440528,0.008867481386077077,142.0,,
